person,age,income,days_of_membership,money_spent,money_gained,event_offer_completed,event_offer_viewed,event_transaction,event_auto_completed,gender_F,gender_M,gender_O,CLOSEST_CLUSTER
00ae03011f9f49b8a4b3e6d416678b0b,55,83000.0,1068,27.25625,5.333333333333333,3,5,8,1,0,1,0,0
00aee28bbb3848dd8a31f0c91dc267dd,21,59000.0,285,4.106,0.0,0,2,5,0,0,1,0,2
00b18b535d6d4f779dea4dc9ac451478,72,102000.0,559,26.65,2.6666666666666665,3,5,5,0,0,1,0,1
00b3400e4ff64ee68ce9ada1d0c222f0,62,80000.0,784,16.392,5.666666666666667,2,2,10,2,0,1,0,1
00b3c376db2a4115af3aef34a02f61d6,50,104000.0,478,27.45375,8.333333333333334,2,2,8,1,0,1,0,1
00b901d68f8f4fd68075184cd0f772d2,68,76000.0,118,13.387500000000001,0.0,0,4,4,0,1,0,0,2
00bbce6533f44ddeaf4dd32bcab55441,94,50000.0,1420,11.03,3.0,4,4,7,0,0,1,0,0
00bc42a62f884b41a13cc595856cf7c3,44,72000.0,1011,18.83,3.8,5,5,8,0,0,1,0,0
00bc983061d3471e8c8e74d31b7c8b6f,59,77000.0,367,21.166666666666664,10.0,1,2,3,0,0,1,0,1
00c20a9202d5475190b31a24de6fb06d,52,80000.0,956,20.50125,5.75,4,4,8,0,0,0,1,0
00c2f812f4604c8893152a5c6572030e,58,102000.0,110,24.818,6.0,2,2,5,0,1,0,0,1
00c32a104f0c4065b5b552895fb22e34,33,42000.0,300,3.4899999999999998,0.0,0,3,2,0,0,1,0,2
00c5a385c71a4d3db5e9b4e31e430943,28,35000.0,380,1.295,0.0,1,4,2,0,0,1,0,2
00c6035df45840038a72766c6d27a0db,47,86000.0,600,21.959090909090907,5.0,4,4,11,0,0,1,0,0
00c91f31f5f74e769fa7a359b63e1a9f,22,49000.0,702,9.624285714285715,2.6666666666666665,4,4,14,0,1,0,0,0
00ceaf16a40341e6996d543d04daa2c2,34,38000.0,152,2.997777777777778,0.0,0,4,9,0,0,1,0,2
00cf1bbec83f4a658f8994e556db4633,53,73000.0,156,21.423333333333332,2.0,1,3,3,0,0,1,0,2
00cf471ed1aa42a8bdde5561d67da2b1,53,40000.0,263,3.2725,5.0,0,3,8,1,0,1,0,2
00d6dc87be4146ceb47fcd4baaaf6477,58,115000.0,311,27.886666666666667,4.8,4,4,12,1,1,0,0,1
00d791e20c564add8056498e40eb56cc,22,32000.0,1029,3.1378947368421053,6.0,4,5,19,0,0,1,0,0
00d7c95f793a4212af44e632fdc1e431,71,75000.0,658,23.20285714285714,4.666666666666667,2,3,7,1,0,1,0,1
00d91c5919514448bc4f718e4e3f26ab,45,88000.0,266,22.299999999999997,10.0,1,4,2,0,0,1,0,1
00e20b4ca129458aaab0f4727ef3513a,82,33000.0,1407,9.5775,2.0,2,3,20,0,1,0,0,0
00e52682848542c3a6f59b7824e9a5c5,40,65000.0,730,11.535,5.0,1,4,2,0,0,1,0,2
00e8d701c583461e81cc10053681a12b,35,70000.0,234,4.425714285714286,3.0,2,3,7,0,0,1,0,2
00e9f403afa641889cd034ee7c7ca6e9,73,45000.0,914,36.152352941176474,4.333333333333333,4,4,17,1,0,1,0,0
00ed7e22b32749cfafbfd88592d401d4,55,94000.0,809,21.541818181818186,3.5,2,2,11,0,0,1,0,1
00ee2ca6421c4af0aeca60a1b3e00f6c,60,74000.0,428,4.03,0.0,1,4,1,0,0,1,0,2
00ee69db83964d6da32f8109b32a1ce7,45,52000.0,277,3.158,0.0,1,4,5,0,0,1,0,2
00fac72fd6ad448e8019b175267023df,57,80000.0,551,18.623,7.5,3,3,10,1,0,1,0,1
00fbb9b5edb94f02afbaf1eb49bb4d7d,56,91000.0,237,26.7,10.0,1,3,3,1,1,0,0,1
00fdd4416dec40b49180814c0a7c8d76,55,104000.0,702,25.55,2.0,1,2,3,0,0,1,0,1
0103de989e084e0fab400e80678d7591,19,50000.0,815,13.17909090909091,4.0,3,3,11,0,0,1,0,0
01162252405b4524a8fa1bf8e6d5f04b,68,32000.0,569,7.214444444444445,4.0,3,4,18,2,1,0,0,0
01176ee7289b48e39ee6261d5c071a07,52,38000.0,170,4.040000000000001,2.0,0,3,5,1,0,1,0,2
0118fbb66dd2443a9dd407d2c99a7672,57,55000.0,423,21.346666666666664,0.0,1,4,3,0,0,1,0,2
0121fe001b7a404fa9cbe486f8944baf,86,109000.0,189,31.94666666666667,5.666666666666667,1,2,6,2,1,0,0,1
0123564dbaf144a88a418c33b6350c17,54,117000.0,396,29.456666666666663,3.5,1,3,6,1,1,0,0,1
013094309e1b49e095c098df412d125d,58,54000.0,1455,3.4589999999999996,3.3333333333333335,3,5,20,0,0,1,0,0
01380da907f8495496679c795867790b,86,73000.0,483,19.37375,7.5,3,3,8,0,1,0,0,1
013f2c82889f4641a9b847a48861cce0,67,79000.0,423,20.726666666666667,5.0,4,4,9,0,0,1,0,0
0141d3870a424c03a20390040efad826,70,60000.0,231,1.58,0.0,0,3,4,0,0,1,0,2
01443a2afce54939a323c978f467c540,61,118000.0,1104,26.120624999999997,5.4,5,5,16,0,1,0,0,0
014899c751254a62a96ce676eb11ddc2,52,115000.0,938,28.009999999999994,4.666666666666667,5,5,11,1,1,0,0,1
0157e63b39c5456393026c6c03f3d84a,70,76000.0,343,19.964999999999996,6.666666666666667,3,3,10,0,1,0,0,1
015c3d28c67e46aa95e9ec97c27220e8,56,99000.0,940,23.541,4.25,4,5,10,0,0,1,0,0
015ef929e016415098eeae8ce59da721,44,35000.0,638,6.093333333333334,2.0,1,1,3,0,1,0,0,2
015fb0b3fbaa4aceb910fbdf272f7547,46,35000.0,100,2.381666666666667,0.0,0,4,6,0,0,1,0,2
016086228d58476599d0b47881c25509,84,74000.0,369,16.64,3.5,2,3,5,0,1,0,0,1
01613170f679422a8acfa96f0f19fdf2,22,57000.0,215,2.066,0.0,1,3,5,0,0,1,0,2
01633b71b3a2457aa7d35d8bcc3afb5a,62,90000.0,1142,20.188750000000002,7.333333333333333,3,4,8,0,0,1,0,0
016871ea865d4338975026ae08d221d0,57,79000.0,139,15.263333333333334,2.0,1,2,3,1,1,0,0,1
016b37032984457fb33ba2767fcc8c9f,24,56000.0,1614,3.678666666666667,0.0,2,2,15,0,0,1,0,0
016edb1d1d67477391c5337545a5d98a,66,57000.0,1024,14.56111111111111,3.0,4,5,9,1,1,0,0,0
017160c1cdb845d48abec3c330b4427e,68,76000.0,1039,22.009999999999998,5.666666666666667,2,2,9,2,1,0,0,1
01772eae932447f9a853461a60820dc6,54,30000.0,462,7.284999999999999,5.0,1,2,8,0,1,0,0,2
01784d3e205548a594ba3fcdbdaaf17d,20,43000.0,1020,11.679230769230768,7.5,2,3,13,1,0,1,0,0
017a93d1204f457bbe85f5e7de062b56,56,35000.0,346,8.50153846153846,3.5,4,5,13,0,0,1,0,0
017febbe52e64ac19cf28cf0d44386e4,61,100000.0,1146,100.34100000000001,6.0,4,5,10,0,0,1,0,1
01873cc8de734961949af7c04b2e9872,72,45000.0,269,2.808333333333333,2.0,1,4,18,0,0,1,0,0
01887dcd32b64feb807e2436548b6c87,61,78000.0,369,21.44333333333334,5.0,3,5,3,0,0,1,0,1
018a49ffb8cf4812903e7c1f56fbb0b0,61,34000.0,685,7.588461538461538,5.0,5,5,13,0,0,1,0,0
018b8f83176d471db63d9733c741fc8a,75,109000.0,169,18.52,5.0,2,2,2,0,1,0,0,1
01925607d99c460996c281f17cdbb9e2,57,116000.0,1064,27.310000000000002,7.5,2,2,2,0,1,0,0,1
01956670cf414b309675aa73368b94a9,52,95000.0,784,24.865000000000002,6.25,3,4,10,1,0,1,0,1
0196d2062b8d4d019b8d96292266e8a4,60,51000.0,210,15.280000000000001,5.0,0,3,4,1,1,0,0,2
0199681637524988a14245632b8376af,74,72000.0,322,22.296,7.5,3,3,10,1,1,0,0,1
019be0c6f8fd4000b1967c7308b4bdf4,23,33000.0,1075,6.723809523809525,3.0,2,4,21,1,1,0,0,0
019cc78d8fed432ca6df71c132c72a99,27,39000.0,100,2.3542857142857145,0.0,0,2,7,0,0,1,0,2
019ed95d987446e3947da0246cdab831,59,76000.0,460,64.38624999999999,5.0,1,1,8,1,0,1,0,1
01a202a9021e40aeaa5451a5d134c16c,74,91000.0,706,26.008333333333336,3.5,2,2,6,1,1,0,0,1
01a5e8b57bc04e0292525f3e2817fa17,55,79000.0,401,19.03333333333333,3.0,1,3,3,0,0,1,0,2
01ab25c31f034f85bc4ac9d286fb7a76,87,77000.0,93,128.858,5.5,4,4,5,0,1,0,0,1
01ac633821f0498893320b41b5b22dfc,53,88000.0,1084,20.955,6.75,3,3,12,1,1,0,0,1
01b6d7e8f0884deb936a8a7f15dba895,48,52000.0,1890,13.575000000000003,4.666666666666667,2,4,12,1,0,1,0,0
01d26f638c274aa0b965d24cefe3183f,49,73000.0,630,4.967499999999999,0.0,1,1,8,0,0,1,0,2
01d7da27b8934ba1b3602a0153e4415f,44,76000.0,220,0.0,0.0,0,4,0,0,1,0,0,2
01de69b5edab4b89859ea8a7214ba35a,53,84000.0,543,109.41142857142859,3.0,3,3,7,0,1,0,0,1
01e09d713abe4a36a70a33fe4b40534e,60,74000.0,1151,21.564999999999998,7.5,1,1,4,1,1,0,0,1
01e57718fc6b49b2875a9c02b32905b1,29,31000.0,676,6.7459999999999996,2.0,1,3,15,0,1,0,0,0
01e8739670a042b3877f8e843bdf55a7,54,119000.0,1090,22.645,2.0,3,3,8,0,1,0,0,1
01e97a4633bf4963838a4aa9ed1dce3e,20,43000.0,410,2.245,0.0,0,4,8,0,1,0,0,2
01ef4c6618b64334a15914ff9963eaac,70,92000.0,343,27.115999999999996,4.0,1,1,5,1,1,0,0,1
01f33ff554d0443a9841adfd66d253f6,69,79000.0,302,17.973333333333333,2.0,2,2,3,0,1,0,0,1
01f46a5191424005af436cdf48a5da7c,63,89000.0,1124,20.823749999999997,7.5,2,2,8,0,0,0,1,1
01f663b988964a4caca8b19abecb551d,62,62000.0,505,19.528,3.5,2,3,5,1,1,0,0,1
01fe5ec668f241608eb2f7ec374cb1b7,44,64000.0,442,16.189,0.0,1,1,10,0,0,1,0,2
01ff6c5d8d014dbd8c120e2b43a065ea,54,58000.0,564,15.489999999999997,4.0,3,4,9,1,1,0,0,0
0200f61c69da4c2ea078842cdaf234e6,64,76000.0,677,21.66777777777778,4.4,4,4,9,1,0,1,0,0
0206e1388c34454caba2b7fce3123943,39,71000.0,501,17.9875,7.5,2,4,4,0,0,1,0,1
020be6e9805649858595dfbaab15ccd7,67,39000.0,1015,2.7931249999999994,4.0,1,3,16,1,0,1,0,0
020be8b0fafa446ebcce6449b20bc92c,59,42000.0,1218,3.1709090909090913,5.0,1,2,11,1,0,1,0,0
020cd0f8047142e18a754303f9337d53,83,67000.0,158,17.915384615384614,3.5,2,5,13,2,1,0,0,1
020d72e77c704c42bb0a858c1aaa3bcd,68,57000.0,479,14.007777777777777,6.666666666666667,4,5,18,0,1,0,0,0
0215efe5136d4a038cb81eae92d59368,58,64000.0,1067,59.02230769230768,3.3333333333333335,4,5,13,0,1,0,0,0
021616b8deea46438e3badc7fca5894d,28,64000.0,669,18.209166666666665,5.0,3,3,12,0,0,1,0,0
0217c4393fd54e74a523b63c0fcc3da5,70,64000.0,942,17.70846153846154,6.75,2,3,13,2,0,1,0,0
0218964095c94da0bfac44cf40c9343f,77,94000.0,1347,24.855555555555554,2.0,2,3,9,0,0,1,0,1
021adce38ab34ede96422ae107643fd5,57,65000.0,561,17.66142857142857,2.5,4,5,14,0,0,1,0,0
021c1940868647efbcb40ccdb942813b,46,73000.0,1335,17.256,6.666666666666667,2,6,5,1,1,0,0,0
0222d267445f4f078bc325224e471766,64,43000.0,289,2.3169999999999997,2.0,0,2,10,1,0,1,0,2
0225045e245f4b7289cc55c0b5870ae2,42,50000.0,401,14.7725,10.0,2,3,4,0,1,0,0,1
022f5553a0704b53ba26f2d23cb1234d,46,62000.0,578,16.169999999999998,2.6,3,3,23,2,1,0,0,0
0231c913a51e420783be6bdeb75aa842,28,65000.0,271,4.25125,3.6666666666666665,4,5,8,0,1,0,0,0
023411b8a45a4715979dae6cec425a8b,61,59000.0,148,2.1570000000000005,3.0,4,5,10,0,0,1,0,0
023a42cf62f742b795a975d56955e220,38,66000.0,417,2.7827777777777776,2.5,3,4,18,0,0,1,0,0
023fd15e56184ec19e23ed5a31c87543,21,53000.0,375,4.0,0.0,0,2,7,0,0,1,0,2
024218e67fa549a4a0a99b32b7b6fbf9,54,70000.0,224,17.58,6.5,2,4,11,2,0,1,0,0
0246e7cc7a3d4a98a940cb13776b5b55,70,65000.0,1383,2.9656249999999997,2.0,4,4,16,0,0,1,0,0
0246f8fdf0b64014a98822b70231c58d,81,79000.0,200,22.342499999999998,5.0,1,3,4,0,1,0,0,1
0247953d899b4a99acab74fa0a807c0f,77,53000.0,275,2.265,0.0,0,3,10,0,0,1,0,2
0251876076024444864473545adce065,74,36000.0,980,1.992857142857143,4.0,2,3,14,0,0,1,0,0
0252aa6f0dee4585ba886945c60f48f5,49,58000.0,265,10.36,0.0,2,6,2,0,1,0,0,2
02557fafcf334c30a22c312c5647f71a,45,43000.0,185,2.8633333333333333,0.0,0,2,6,0,0,1,0,2
026876bc8c6a4e0c8e330342c92cc844,49,74000.0,324,26.38,5.0,0,4,1,1,1,0,0,1
027596e6ed19471392923eb833b25fd3,35,64000.0,415,2.476666666666667,2.0,1,2,6,0,0,1,0,2
02765747959045a0a7c452888b2f31eb,62,40000.0,111,9.857999999999999,0.0,1,3,5,0,1,0,0,2
0276c9a3092d4f79a29d61a1462f9b4d,43,56000.0,510,17.040833333333335,2.25,4,4,12,0,0,0,1,0
027c18923c0146e58ccd615f6a62d82f,50,73000.0,1364,2.2318181818181824,2.0,1,2,11,0,0,1,0,0
02865fee714e466e99f9bb7a7203887b,64,75000.0,439,3.79,5.0,1,2,5,1,0,1,0,2
028a12f0ee584455850300886174f3d7,79,88000.0,899,24.133333333333336,2.0,1,3,3,0,1,0,0,1
028c88a958e54c36a31c4800fd6e887b,84,108000.0,839,26.57285714285714,3.6,2,2,14,3,1,0,0,1
029e063479234fb1b6c8727c3d45de62,71,93000.0,327,23.25666666666667,10.0,0,2,3,1,0,1,0,1
02a3aa431c1047be8eafec3dcd6b5fd0,54,70000.0,134,19.128333333333334,7.5,4,4,6,0,0,1,0,1
02a458e1233342b79caff81edbcc30a9,59,99000.0,113,26.845,7.5,1,6,2,1,1,0,0,1
02abd909ebc94aca8766f3f0ee39db80,26,61000.0,238,15.8025,6.0,2,3,8,0,0,1,0,2
02b5aa5725f94bcb94ca58208015b7bc,65,46000.0,720,3.0700000000000003,2.5,1,2,13,1,0,1,0,0
02b6895b3cab4f79a116bddc1c70b5c3,53,34000.0,370,2.9881250000000006,2.0,1,2,16,0,0,1,0,2
02b7a80a321c4b078af92d494cc0f012,32,34000.0,353,36.378181818181815,10.0,3,3,11,0,1,0,0,0
02ba8c272f284139abef53e0290bfb67,87,94000.0,529,22.952499999999997,6.0,2,2,4,1,1,0,0,1
02c083884c7d45b39cc68e1314fec56c,20,30000.0,829,2.989,0.0,0,1,10,0,1,0,0,2
02c6daf74a49491ca397f105ef944784,54,109000.0,907,26.313333333333333,2.0,1,1,3,0,1,0,0,1
02c89861ce2c4010bf4ed63f6f6d5df3,58,79000.0,946,20.131538461538465,4.25,4,5,13,0,0,1,0,0
02c8c9806a8c44f792a218fb2e8756b3,28,45000.0,172,5.4825,5.0,0,4,4,1,0,1,0,2
02db8af535e54416a01aff51836d166f,73,30000.0,417,0.61,0.0,0,1,1,0,0,1,0,2
02dd040b77914163b1fd02efc3976d55,37,60000.0,330,15.151666666666669,3.8,5,5,12,0,0,1,0,0
02e2211319524b9e8bd09794d00d8513,24,73000.0,697,4.398000000000001,4.0,2,3,15,1,0,1,0,0
02e4c9dff62e4857a429a4be3ba73ed0,44,74000.0,366,3.4900000000000007,7.5,2,3,14,1,0,1,0,0
02e5396559f94469b6d03e40d85830c7,51,98000.0,1015,25.99888888888889,7.5,4,5,9,0,0,1,0,0
02e6dbe7c694441a88f9160b6b0e1a35,55,61000.0,378,13.533636363636363,10.0,3,3,11,0,0,1,0,0
02e6dd10b22c43fcb5a2dfc0038dac22,39,74000.0,733,3.8618181818181814,4.0,1,2,11,1,1,0,0,0
02eba2268a3640bb8e85880e12617c5f,79,57000.0,962,15.747500000000002,3.3333333333333335,2,3,12,1,1,0,0,0
02efe2a67be247a686f79ba1cbce42f1,84,96000.0,628,26.208999999999996,4.0,3,4,10,0,1,0,0,1
02efe413dd194069ab58abde38ab5e02,59,97000.0,927,30.381666666666664,4.0,1,1,6,2,1,0,0,1
02f638a6c98241c98b24a06ca489aac0,67,46000.0,315,3.528,0.0,1,4,5,0,0,1,0,2
03019e49a5164723ae527bbd6949e0c1,45,84000.0,873,20.558749999999996,4.0,4,4,8,0,0,1,0,0
0305b52a24744a9bb660bffc6b39e884,51,114000.0,1035,21.218333333333334,7.5,2,2,6,1,0,1,0,1
030c30c1955f4a17be09b692caf5ec5f,74,69000.0,919,4.13,5.0,3,3,16,0,0,1,0,0
03118ab70a404fada1a433cd6abaa491,40,63000.0,271,17.678333333333335,3.5,3,3,18,0,1,0,0,0
031387fa9cfd47e88f4e4b4b4cb71925,41,83000.0,391,0.0,0.0,0,5,0,0,0,1,0,2
03257d4fcb6641aebaa46d5605d205ca,79,71000.0,589,17.3025,3.0,4,5,12,0,0,1,0,0
0335d274249f4eb6b3c51527f02a3216,21,74000.0,693,20.335,6.5,5,5,12,1,1,0,0,0
03374e3f14564b36a7138154ed8c194a,30,41000.0,682,2.9122222222222223,0.0,1,2,9,0,1,0,0,2
033bf5269a494dd787e5e9f4a45b843c,82,89000.0,371,26.87,2.5,2,4,2,0,0,1,0,1
033d0a511a5c452ea2be37a23f8c6dcb,82,78000.0,1063,22.448,2.0,1,2,5,0,0,1,0,1
033f0ee2250e475b87f70115e7895957,62,108000.0,664,30.143333333333334,3.0,0,2,3,1,1,0,0,1
033fed8bb1504885b866429db25543a0,66,108000.0,99,29.993333333333336,3.5,1,4,3,1,0,1,0,1
0340f0361285411ab60a24823b020112,32,59000.0,329,2.9499999999999997,0.0,1,3,7,0,0,1,0,2
0342c7c449a84440b3f7a80ad095761a,52,56000.0,1016,14.424705882352939,7.333333333333333,4,4,17,0,0,1,0,0
0345b2da6507473ca4400ed84dc6725a,70,31000.0,1722,3.0346153846153836,2.0,2,3,13,0,1,0,0,0
034946bd82b34a219b556a47f1200828,41,68000.0,394,11.065,3.5,1,3,2,1,0,1,0,2
034b962ed61d4da1bb0baaec84cc2e85,60,74000.0,446,17.441249999999997,7.333333333333333,3,4,8,0,0,1,0,0
034ce97360c6485ab990d903343f9f08,23,48000.0,98,4.514,3.0,2,3,5,0,0,1,0,2
034dcdec0a0547a19d77dcf2bc8ecc48,57,76000.0,382,11.37,0.0,0,3,1,0,1,0,0,2
0355c6a5fdbc429ea5b05e8a9ecd2eae,77,88000.0,861,18.18166666666667,4.0,1,1,6,2,1,0,0,1
03566626393f43a88c55de21c61761d0,71,59000.0,230,1.8166666666666667,0.0,0,1,3,0,0,1,0,2
03568fe0e51b41a9bd752ec8be307ba5,67,73000.0,1825,17.955000000000002,6.0,2,2,4,0,0,1,0,1
03575a43a3da4691998de01fff617f99,81,115000.0,393,25.16125,6.666666666666667,4,4,8,0,0,1,0,1
035d5aa3c23a4059ae663b4c07aa26ce,37,89000.0,1061,21.82916666666667,5.666666666666667,3,4,12,1,1,0,0,0
03637e48ffda4bf9b73b079d03c0bbe3,35,48000.0,305,12.37375,4.0,4,6,8,0,0,1,0,0
03676dc08a0a4899b0af5030bb6da6f5,44,83000.0,702,19.526,2.0,2,2,5,0,0,1,0,2
036c34e6a32a463db11ebb398a8719b6,40,56000.0,403,2.718571428571429,0.0,0,2,7,0,0,1,0,2
036e4bedca2045afad50fda2d3b505ab,71,78000.0,213,24.85,2.0,1,6,1,0,0,1,0,2
036f1e5cca91478685c8cef24cc8b076,62,43000.0,165,2.4683333333333333,5.0,0,2,6,1,0,1,0,2
03716dbf46394867ba126ebe1ebc202e,30,66000.0,207,1.1566666666666667,0.0,2,4,3,0,0,1,0,2
0375600415e24e0a9fd83ec191d5955d,50,65000.0,1745,3.1823076923076923,3.0,2,2,13,0,0,1,0,0
037c3e0c1cd6477dbe15812a05619fc5,60,77000.0,316,19.415714285714284,4.0,2,3,7,0,1,0,0,1
0383a12d3a2d4fbb86ec83bd0c25eead,66,36000.0,438,9.187000000000001,4.0,4,4,10,0,0,1,0,0
03887756866f4ea9b74b7e1b83ffac44,61,61000.0,387,14.809999999999999,6.75,3,4,17,1,1,0,0,0
038d32f25cff4833ab44c5123e42583a,55,58000.0,1213,3.4963636363636357,3.5,3,3,11,0,0,1,0,0
0390715ee2a4443eac8582a5941d61a9,57,60000.0,380,17.27333333333333,7.5,2,3,3,0,0,1,0,1
03922ce960124f4a8c4acd2a332ef296,61,62000.0,245,4.71,0.0,0,3,4,0,0,1,0,2
039e0c539c2f4fc582423412a8bceb40,82,32000.0,84,1.6099999999999999,0.0,0,1,7,0,0,1,0,2
03a6837af25144b18936719d7afd5a58,36,62000.0,184,4.3566666666666665,4.0,2,3,6,0,1,0,0,2
03adb16f61e44e6594d6d8e38d0a3e64,58,79000.0,536,23.528,7.5,2,2,5,1,0,1,0,1
03af4a51012e4a00809df85c9279e4e4,69,94000.0,905,25.891666666666666,6.0,2,2,6,1,1,0,0,1
03b0358ba8d945b3ac283f25969a0cca,52,51000.0,298,1.06,0.0,0,1,2,0,1,0,0,2
03b326a99f5345df8b4d21ed26bdb0da,80,85000.0,928,23.04714285714286,5.5,4,4,7,0,1,0,0,1
03b810ec338c4a85b063449f40c7b9cc,81,63000.0,246,3.47,0.0,0,2,4,0,0,1,0,2
03bbce97de8240359c2706a4c9f537f2,56,52000.0,729,3.269166666666667,2.0,1,2,12,0,0,1,0,2
03c0b69b3db24c70bba1622bc8dd8459,46,31000.0,922,7.352500000000001,10.0,4,4,20,0,0,1,0,0
03c23b2ec84f4c5296e99c939288bcd4,55,89000.0,546,21.775,5.0,0,0,4,1,1,0,0,1
03cc530b458e4fb180c222777916e9b5,89,36000.0,1166,2.192727272727273,2.3333333333333335,2,4,22,1,0,1,0,0
03cd7c3f955a4c47bd3caf4e9a2db37c,81,79000.0,277,19.294444444444444,2.0,2,2,9,0,0,1,0,1
03deb7cf0ebd4c7889a8a9e44df1c50a,53,64000.0,843,4.069166666666667,2.0,1,3,12,0,0,1,0,0
03e507f56bd34d3dacdecb5eb87111f7,49,77000.0,1697,20.531428571428574,4.6,5,5,14,0,0,1,0,0
03e67807671e4cb4bb34f2ebabc97d28,32,69000.0,220,16.08153846153846,8.75,4,5,13,0,1,0,0,0
03e866224ec641c58bc93a69be00de9c,80,47000.0,249,3.7414285714285715,2.0,1,3,7,0,1,0,0,2
03ef53e2d3e1436eb3b2042a4825adec,50,90000.0,1006,24.26125,6.25,4,4,8,0,0,1,0,0
03f1ad04292f47b2b1299cc92f8f2a5d,65,71000.0,334,21.658571428571427,4.333333333333333,3,4,14,1,0,1,0,0
03f75ac6db7a457dbd6086e6b86a4fd1,22,64000.0,124,5.13,0.0,0,2,4,0,0,1,0,2
03fbbeecf81b468684b50dbe63ac4587,33,47000.0,254,1.8199999999999998,0.0,0,2,7,0,0,1,0,2
03fe8e9f855846c88fd01c4b7b147db7,42,53000.0,86,14.4525,10.0,0,3,4,1,0,1,0,2
03ff3cf4aec84162be697c28346bdd5a,58,47000.0,89,4.115555555555555,5.0,1,3,9,0,1,0,0,2
040704e99ab84cd08977858fab9b9276,65,88000.0,305,20.617142857142856,5.6,5,5,7,0,0,1,0,0
0409252539634eca8a8d1b5407caa582,32,39000.0,388,24.905,0.0,0,3,4,0,0,1,0,2
0409df7f3af74e8c813d975fbd4ceb02,75,81000.0,1108,21.400000000000002,2.0,3,4,3,0,0,1,0,1
040b2e6d3e914d609f6764b34b5a3a88,63,112000.0,349,28.123333333333335,7.5,1,3,3,1,1,0,0,1
0414fcebbd7f4a19bca352622b1c84e2,47,44000.0,276,3.9614285714285713,3.5,1,3,7,1,0,1,0,2
04189492f0aa46f2b6fefe34ffbc7062,29,64000.0,1769,4.281176470588235,3.5,2,2,17,0,0,1,0,0
041967ceb80841ddbd306958d4f744ac,57,88000.0,489,23.235,5.0,2,3,6,0,1,0,0,1
041fd7c6b796430a867c4e03d2ff8f4d,77,66000.0,1468,3.3511538461538453,3.4,4,4,26,1,0,1,0,0
042d7ab61d1143fe9230bcb1af34aa5a,41,56000.0,350,13.71,6.5,2,5,3,0,0,1,0,2
04326bc8a2e94fe09557d30388647e52,60,30000.0,407,3.0575,0.0,1,2,4,0,1,0,0,2
04362cece3104f4ebcb3d49ef0bc7e9c,47,38000.0,1096,10.780000000000003,3.0,2,2,14,0,0,1,0,0
043702ae29bc426e9f65ef7beb6cd08a,39,94000.0,379,28.475,5.0,1,3,2,0,1,0,0,1
043b6b6be98c412d901f7f376e0548d0,73,77000.0,378,0.0,0.0,0,4,0,0,0,1,0,2
043bcfeacb874bbc837300701ce25870,70,72000.0,323,18.710000000000008,7.0,5,5,19,1,1,0,0,0
04452c214f5f401bb1418313c1526cbb,52,119000.0,1090,23.048333333333332,2.3333333333333335,2,2,6,1,0,1,0,1
044a7e5bbe7f4c66a898ad1dc4bc0049,65,52000.0,179,0.0,0.0,0,4,0,0,0,1,0,2
